Duration,Run ID,Name,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,MISC_f1,MISC_number,MISC_precision,MISC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,lang,slurm_job,task,pipeline_type,eval_type,dataset,aligner,candidate_matching,candidate_selection
42.8s,5de4c5dd0ee34cc9b043e7883a3ce568,awesome-robin-55,FINISHED,0.8247422680412371,99,0.8421052631578947,0.8080808080808081,0.4316109422492401,186,0.4965034965034965,0.3817204301075269,0.8128654970760234,328,0.7808988764044944,0.8475609756097561,0.9485714285714288,84,0.912087912087912,0.988095238095238,0.970703208900726,0.7409551374819103,0.7474452554744525,0.7345767575322812,0.9418439716312054,es,521717,pipeline_eval,model_transfer,compare_to_original,europarl,,,
40.7s,7c1cf14259824adf84cfc087cd178794,rare-whale-930,FINISHED,0.8092485549132947,91,0.8536585365853658,0.7692307692307693,0.3850574712643678,191,0.4267515923566879,0.3507853403141361,0.725521669341894,325,0.7583892617449665,0.6953846153846154,0.9325842696629212,86,0.9021739130434784,0.9651162790697676,0.9701292911279537,0.6747352496217852,0.7090620031796503,0.6435786435786436,0.9070921985815604,de,521716,pipeline_eval,model_transfer,compare_to_original,europarl,,,
41.5s,c06e74f0b9b64c77b6bae2c4941eea2b,debonair-grub-494,FINISHED,0.8404255319148938,94,0.8404255319148937,0.8404255319148937,0.3758389261744966,195,0.5436893203883495,0.2871794871794871,0.7352024922118381,322,0.7375,0.7329192546583851,0.9473684210526316,82,0.9101123595505618,0.9878048780487804,0.9608084679259056,0.6959199384141647,0.7458745874587459,0.6522366522366523,0.901168126825198,it,521718,pipeline_eval,model_transfer,compare_to_original,europarl,,,
1.3min,52234c3c784b4b56af3ff5d02bfad9c5,painted-panda-262,FINISHED,0.8176795580110496,91,0.8222222222222222,0.8131868131868132,0.4563758389261744,191,0.6355140186915887,0.3560209424083769,0.8105263157894738,325,0.9428571428571428,0.7107692307692308,0.970414201183432,86,0.9879518072289156,0.9534883720930232,0.9762223212958836,0.7471264367816093,0.8666666666666667,0.6565656565656566,0.8732582394659993,de,521692,pipeline_eval,candidates,compare_to_original,europarl,awesome,argmax,ner
1.3min,d2ad3ec766f54b95aa442002ebd0beea,sedate-asp-602,FINISHED,0.8176795580110496,91,0.8222222222222222,0.8131868131868132,0.4481605351170568,191,0.6203703703703703,0.3507853403141361,0.8111888111888111,325,0.9392712550607288,0.7138461538461538,0.970414201183432,86,0.9879518072289156,0.9534883720930232,0.97617278446525,0.7452907452907452,0.8617424242424242,0.6565656565656566,0.8744680851063832,de,521690,pipeline_eval,candidates,compare_to_original,europarl,simalign,argmax,ner
3.5min,908f072108484ca78d8a0c496633d41f,selective-ray-399,FINISHED,0.8125,94,0.7959183673469388,0.8297872340425532,0.8042895442359249,195,0.8426966292134831,0.7692307692307693,0.9188361408882084,322,0.9063444108761328,0.9316770186335404,0.9575757575757576,82,0.9518072289156626,0.9634146341463414,0.9921525686650242,0.8778018799710772,0.8797101449275362,0.8759018759018758,0.991197329995828,it,521703,pipeline_eval,candidates,compare_to_original,europarl,simalign,argmax,dummy
2.7min,f90baf384c4c4517a42bbfa90ffd39f6,gentle-moose-358,FINISHED,0.8631578947368421,91,0.8282828282828283,0.9010989010989012,0.8804347826086956,191,0.9152542372881356,0.8481675392670157,0.9447852760736196,325,0.9418960244648318,0.9476923076923076,0.9764705882352942,86,0.988095238095238,0.9651162790697676,0.993461138356368,0.9202898550724636,0.9243085880640466,0.9163059163059164,0.9910513141426784,de,521691,pipeline_eval,candidates,compare_to_original,europarl,awesome,argmax,dummy
1.2min,2a7a714b126f476b938a7897f2becb7b,intrigued-lamb-129,FINISHED,0.8160919540229885,91,0.8554216867469879,0.7802197802197802,0.5978647686832741,191,0.9333333333333332,0.4397905759162304,0.8787878787878787,325,0.9702602230483272,0.803076923076923,0.9764705882352942,86,0.988095238095238,0.9651162790697676,0.9810273938673404,0.8187038556193602,0.9486692015209124,0.7200577200577201,0.8616812682519818,de,521694,pipeline_eval,align_src,compare_to_original,europarl,awesome,,
2.7min,836e70c3cb0543978ba2a1ee46722df5,bustling-stag-914,FINISHED,0.8315789473684211,91,0.797979797979798,0.8681318681318682,0.8292682926829268,191,0.8595505617977528,0.8010471204188482,0.9375951293759514,325,0.927710843373494,0.9476923076923076,0.9647058823529412,86,0.9761904761904762,0.9534883720930232,0.9919750334373608,0.8975468975468975,0.8975468975468975,0.8975468975468975,0.9934501460158532,de,521689,pipeline_eval,candidates,compare_to_original,europarl,simalign,argmax,dummy
4.2min,8e3a0e229218423cb8b9c7e72b14379f,upset-asp-298,FINISHED,0.8888888888888888,99,0.8888888888888888,0.8888888888888888,0.7637362637362638,186,0.7808988764044944,0.7473118279569892,0.93815987933635,328,0.928358208955224,0.948170731707317,0.988095238095238,84,0.988095238095238,0.988095238095238,0.9923536234374328,0.8916008614501078,0.8922413793103449,0.890961262553802,0.9949520233625364,es,521696,pipeline_eval,candidates,compare_to_original,europarl,simalign,argmax,dummy
