,Duration,Run ID,Name,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,candidate_matching,candidate_selection
0,51.8s,ea208b7b7d9f4a85a51bb43a65d73d22,stylish-shad-740,FINISHED,0.0077821011673151,218,0.0256410256410256,0.0045871559633027,0.102803738317757,193,0.5238095238095238,0.0569948186528497,0.0148698884758364,223,0.0434782608695652,0.0089686098654708,0.9588908815008966,0.0378378378378378,0.1320754716981132,0.0220820189274447,0.7596909283944794,448187,align_tgt,masakhaner2,twi,pipeline_eval,compare_to_original,awesome,,
1,44.6s,eaaf5d0180fa4c658b30a3a962320f18,bemused-steed-242,FINISHED,0.0403225806451612,218,0.1666666666666666,0.0229357798165137,0.0952380952380952,193,0.5882352941176471,0.0518134715025906,0.0465116279069767,223,0.1714285714285714,0.0269058295964125,0.960994619947579,0.0586592178770949,0.2560975609756097,0.0331230283911671,0.7448334352132868,448187,align_tgt,masakhaner2,twi,pipeline_eval,compare_to_original,simalign,,
2,50.6s,66f6bf90be0d41a38777f9407fdf5158,chill-croc-271,FINISHED,0.6839378238341969,218,0.7857142857142857,0.6055045871559633,0.6701298701298701,193,0.671875,0.6683937823834197,0.8647450110864745,223,0.8552631578947368,0.874439461883408,0.9840322803145262,0.7463175122749591,0.7755102040816326,0.7192429022082019,0.9544594821638586,448187,align_src,masakhaner2,twi,pipeline_eval,compare_to_original,awesome,,
3,47.1s,c67b97f33cd241749ed1c15289aab648,crawling-gnat-494,FINISHED,0.670076726342711,218,0.7572254335260116,0.6009174311926605,0.663316582914573,193,0.6439024390243903,0.6839378238341969,0.8043010752688172,223,0.7727272727272727,0.8385650224215246,0.9822044419919987,0.7177033492822967,0.7258064516129032,0.7097791798107256,0.968608284091356,448187,align_src,masakhaner2,twi,pipeline_eval,compare_to_original,simalign,,
4,1.2min,7c760390af5745bbb6977a7514561dfb,puzzled-tern-142,FINISHED,0.0180995475113122,218,0.6666666666666666,0.0091743119266055,0.1214953271028037,193,0.6190476190476191,0.0673575129533678,0.0672268907563025,223,0.5333333333333333,0.0358744394618834,0.9629948958477031,0.0683506686478454,0.5897435897435898,0.0362776025236593,0.7242931854822856,448187,backtrans_candidates,masakhaner2,twi,pipeline_eval,compare_to_original,awesome,argmax,ner
5,7.9min,053f007a4d4c4002b3d8e8e41387522f,bustling-koi-448,FINISHED,0.0074074074074074,218,0.0192307692307692,0.0045871559633027,0.0909090909090909,193,0.1690140845070422,0.0621761658031088,0.0209059233449477,223,0.046875,0.0134529147982062,0.955855980135191,0.0389768574908648,0.0855614973262032,0.0252365930599369,0.7847253352207938,448187,backtrans_candidates,masakhaner2,twi,pipeline_eval,compare_to_original,awesome,argmax,dummy
6,1.2min,99d8908b75b444acbdb738f463d9a0ce,wistful-newt-279,FINISHED,0.0526315789473684,218,0.6,0.0275229357798165,0.1132075471698113,193,0.631578947368421,0.0621761658031088,0.0909090909090909,223,0.5789473684210527,0.0493273542600896,0.9632707959718582,0.0850439882697947,0.6041666666666666,0.0457413249211356,0.7317742125752036,448187,backtrans_candidates,masakhaner2,twi,pipeline_eval,compare_to_original,simalign,argmax,ner
7,56.1s,406706c0c5374f60b1975ab32f0a5969,capable-cub-270,FINISHED,0.2225519287833827,411,0.2851711026615969,0.1824817518248175,0.4634146341463415,230,0.7755102040816326,0.3304347826086956,0.6020618556701031,296,0.7724867724867724,0.4932432432432432,0.965179184402032,0.3994620040349697,0.54,0.3169690501600853,0.818992037640246,448176,align_tgt,masakhaner2,fon,pipeline_eval,compare_to_original,awesome,,
8,27.4s,9ef948b511f44777adddb33b80447e86,gifted-conch-606,FINISHED,0.3245192307692307,536,0.4560810810810811,0.251865671641791,0.4422764227642277,362,0.5375494071146245,0.3756906077348066,0.5230769230769231,456,0.6296296296296297,0.4473684210526316,0.9548876124531172,0.4265828468792097,0.5441008018327605,0.3508124076809453,0.7688906431475027,448188,align_tgt,masakhaner2,wol,pipeline_eval,compare_to_original,awesome,,
9,28.3s,1a62d97c233d4e66a6bb3c0f248e78df,classy-bug-594,FINISHED,0.3674418604651162,536,0.4876543209876543,0.2947761194029851,0.4766505636070853,362,0.5714285714285714,0.4088397790055249,0.5465994962216624,456,0.6420118343195266,0.4758771929824561,0.9571956880950508,0.4597802197802197,0.5678610206297503,0.3862629246676514,0.785178027003484,448188,align_tgt,masakhaner2,wol,pipeline_eval,compare_to_original,simalign,,
