,Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,Unnamed: 0,candidate_matching,candidate_selection
0,2025-01-08 13:13:08,1.2min,f1fc3970a2b645b2a47c75155fb5c996,bustling-auk-812,LOCAL,/projects/p015/p_scads_nlp/Oleh_Shkalikov/cross-lingual-ner-with-multilingual-sequence-translation/src/pipelines/run_pipeline.py,shol,FINISHED,0.16219723183391,3745.0,0.1362892967472287,0.2002670226969292,0.3228207639569049,3733.0,0.6005830903790087,0.2207339941066166,0.5336467822509551,3969.0,0.6401127952062038,0.4575459813555051,0.5413526538797425,0.3204310222600312,0.3490527182866557,0.2961474622171748,0.883113174603175,520622.0,align_tgt,xtreme,id,pipeline_eval,compare_to_original,awesome,,,
0,,1.5min,286766658af14af58253dffd0b5a3e61,glamorous-vole-415,,,,FINISHED,0.7249802994483847,562.0,0.6506364922206507,0.8185053380782918,0.7129094412331406,569.0,0.7889125799573561,0.6502636203866432,0.769433465085639,356.0,0.7245657568238213,0.8202247191011236,0.9125647668393784,0.7318982387475539,0.7105763141228626,0.7545393409549428,1.0900499999999995,450729.0,model_transfer,xtreme,af,pipeline_eval,compare_to_original,,0.0,,
1,,2.1min,9a5db25aa8ae4bc09f33faef5d86bee5,popular-shark-647,,,,FINISHED,0.7459277917716205,5671.0,0.7119730726077897,0.7832833715394111,0.5898674980514419,3982.0,0.7776407727085902,0.4751381215469613,0.8089005235602094,4510.0,0.7960498067840275,0.8221729490022173,0.8871232087882882,0.730513221547303,0.753338334583646,0.7090305726187954,0.9521541814224428,450743.0,model_transfer,xtreme,hu,pipeline_eval,compare_to_original,,1.0,,
2,,1.9min,2cb51ed178b6400dbaf326b44802d9d1,spiffy-koi-600,,,,FINISHED,0.732944149167901,5629.0,0.71922024623803,0.747201989696216,0.499487029166056,4180.0,0.64472190692395,0.4076555023923445,0.8617075404497812,4745.0,0.8331365604092876,0.8923076923076924,0.8821180970595267,0.7212998186795606,0.7473660944522214,0.6969905180706335,0.9377614321789328,450739.0,model_transfer,xtreme,fi,pipeline_eval,compare_to_original,,2.0,,
3,,2.8min,59b9496ad08a4df58e9bdc4ec2934f19,dashing-duck-404,,,,FINISHED,0.7889062278337353,6436.0,0.7257896110676064,0.8640459912989434,0.4166108506363027,3670.0,0.5403996524761078,0.3389645776566757,0.8066528066528067,3954.0,0.7809614018470282,0.8340920586747598,0.8511316391694523,0.715332601692215,0.7121308239937971,0.7185633001422476,1.0222226325757575,450731.0,model_transfer,xtreme,bg,pipeline_eval,compare_to_original,,3.0,,
4,,1.9min,a246f2746f5749acac54c7c7766f2daf,calm-dove-730,,,,FINISHED,0.6790063321967852,4914.0,0.6512801345542889,0.7091982091982092,0.5437490839806537,4154.0,0.6950168602472836,0.4465575349061146,0.8345323741007195,4519.0,0.7995134806405838,0.8727594600575349,0.8468130620221573,0.6996232102486812,0.716745155562418,0.683300213439317,0.9712163095238102,450763.0,model_transfer,xtreme,tr,pipeline_eval,compare_to_original,,4.0,,
5,,1.4min,a63322f009e54faea829f809a006e31c,nervous-dog-788,,,,FINISHED,0.7145161290322581,562.0,0.6533923303834809,0.7882562277580071,0.5909592061742007,569.0,0.7928994082840237,0.4710017574692443,0.7572815533980584,356.0,0.7479452054794521,0.7668539325842697,0.8836972612879349,0.6861924686192469,0.7125271542360608,0.6617350369872226,0.9915090909090908,450729.0,candidates,xtreme,af,pipeline_eval,compare_to_original,simalign,5.0,argmax,ner
6,,1.9min,8e0dc744433d46e6967c45673188edca,amusing-snake-859,,,,FINISHED,0.7105040037682524,4961.0,0.6669614432260347,0.7601290062487401,0.5089887640449439,4157.0,0.6115423557205535,0.4358912677411595,0.7931993156544054,4750.0,0.8059539330725771,0.7808421052631579,0.8935337853061057,0.6860855761066195,0.702927604206067,0.6700317277184886,0.9761244047619057,450733.0,model_transfer,xtreme,de,pipeline_eval,compare_to_original,,6.0,,
7,,1.4min,89edc22ff8aa449d8c6a9754001bf058,monumental-boar-103,,,,FINISHED,0.7000000000000001,562.0,0.648936170212766,0.7597864768683275,0.5922651933701658,569.0,0.7976190476190477,0.4710017574692443,0.7572815533980584,356.0,0.7479452054794521,0.7668539325842697,0.8826794966691339,0.6802529866479269,0.7122884473877852,0.6509751176866173,0.9829439393939394,450729.0,candidates,xtreme,af,pipeline_eval,compare_to_original,awesome,7.0,argmax,ner
8,,2.0min,127a4bdf1ec84f6eb2aab98dcce970a9,charming-turtle-21,,,,FINISHED,0.7300801742056815,4476.0,0.6554114092767016,0.8239499553172476,0.570636265598521,3655.0,0.6530324400564175,0.506703146374829,0.6980401361342564,4033.0,0.6626559714795008,0.7374163153979668,0.8785873425539894,0.6780011945052759,0.6574009728978457,0.6999342321604736,1.0822555042016808,450734.0,model_transfer,xtreme,el,pipeline_eval,compare_to_original,,8.0,,
